user,Inception,The Shawshank Redemption,The Matrix,Interstellar,Pulp Fiction,Avatar,Jurassic Park,Forrest Gump,The Godfather,The Dark Knight,Star Wars,Titanic,Gladiator,The Lion King,Fight Club,Casablanca,The Lord of the Rings,The Avengers,Eternal Sunshine of the Spotless Mind,The Social Network,Black Panther,La La Land,The Grand Budapest Hotel,Blade Runner 2049,The Incredibles,Toy Story,Gone with the Wind,The Silence of the Lambs,Shutter Island,The Revenant,The Breakfast Club,The Princess Bride,The Godfather Part II,The Big Lebowski,The Good Dinosaur
user1,1,4,3,1,3,3,3,5,3,1,2,2,3,5,5,1,4,4,2,2,4,4,5,5,5,4,1,5,2,2,1,2,5,5,2
user2,1,3,4,1,1,4,5,1,3,5,1,4,1,2,4,3,2,2,1,2,5,3,5,1,2,5,4,5,2,2,2,1,5,5,1
user3,5,1,5,1,5,1,5,4,5,4,5,1,2,4,1,1,3,2,1,2,1,4,1,2,3,5,3,3,5,3,5,5,4,5,5
user4,1,1,3,4,5,1,5,4,1,1,1,2,5,2,1,1,2,5,3,4,2,5,1,5,2,5,1,5,3,4,2,2,5,4,3
user5,3,2,2,1,2,4,4,5,1,1,2,2,4,3,3,5,4,1,5,5,4,3,2,3,1,2,2,5,4,2,1,4,2,3,1
user6,1,2,1,5,1,5,1,2,5,4,5,3,3,5,3,1,4,4,2,2,2,1,3,3,5,5,1,3,3,1,3,3,2,3,5
user7,1,4,3,1,4,5,1,4,4,2,2,5,4,1,1,5,5,1,5,3,2,2,3,1,3,2,2,3,5,1,1,3,4,3,5
user8,2,5,5,3,2,5,5,2,5,3,4,4,4,3,4,4,1,1,1,3,1,5,1,3,5,2,2,3,3,4,4,4,5,2,4
user9,2,5,4,2,4,5,5,2,2,4,4,5,4,3,1,1,4,4,2,1,3,2,4,2,5,4,5,1,5,2,1,3,5,1,1
user10,4,4,5,4,1,2,2,5,1,5,2,3,2,3,2,4,4,2,5,4,3,5,2,3,5,1,1,5,2,5,5,5,1,1,2
user11,2,3,2,2,1,4,4,2,4,4,1,3,3,5,4,5,3,2,3,2,4,3,1,4,2,5,4,2,5,4,5,3,2,5,1
user12,1,5,2,2,1,3,4,1,4,5,2,1,2,3,3,2,1,1,5,3,3,2,4,1,4,1,5,5,4,5,5,1,3,2,3
user13,2,1,3,2,2,5,5,3,3,4,3,1,1,1,5,5,1,1,3,3,4,4,3,3,2,4,3,1,3,1,2,4,2,3,4
